"mz","rt","H2O_Mix1_150_450.mzXML","H2O_Mix10_150_450.mzXML","H2O_Mix11_150_450.mzXML","H2O_Mix12_150_450.mzXML","H2O_Mix2_150_450.mzXML","H2O_Mix3_150_450.mzXML","H2O_Mix4_150_450.mzXML","H2O_Mix5_150_450.mzXML","H2O_Mix6_150_450.mzXML","H2O_Mix7_150_450.mzXML","H2O_Mix8_150_450.mzXML","H2O_Mix9_150_450.mzXML","MeOH_2.mzXML","SampleID","ID","SMILES","Adducts","LOGP","formula","mserror","db"
154.049962361654,1.550015,6470.88671875,4592.70556640625,2842.45825195312,2976.03149414062,4438.728515625,4029.65600585938,1530153.875,54389.6796875,3855.42431640625,3581.82275390625,4487.880859375,282618.09375,3514.06079101562,7,"736;737","NC1=CC(C(O)=O)=C(O)C=C1;NC1=CC(O)=C(C=C1)C(O)=O","[M+H]+;[M+H]+","0;0.205;0.205","C7H7NO3;C7H7NO3","0.546976141375104;0.546976141375104","STD;STD"
154.086095174154,0.550485,4743.2314453125,3623.0546875,4456.34619140625,3218.75317382812,4004.27197265625,1898028.25,5466.2509765625,4454.5185546875,4553.18359375,5144.47412109375,3587.5927734375,5499.19482421875,5207.80908203125,6,"728;782","NC[C@H](O)C1=CC=C(O)C=C1;NCCC1=CC(O)=C(O)C=C1","[M+H]+;[M+H]+","0;-0.794;0.05","C8H11NO2;C8H11NO2","-1.0930632372278;-1.0930632372278","STD;STD"
155.070449829102,2.87501666666667,31766.279296875,85228.3125,58929.66796875,22596.99609375,14157385,22044.43359375,20149.65625,23499.0625,18868.51953125,24785.98828125,3772908.5,24569.80078125,18954.005859375,5,"609;625","COC1=CC(OC)=CC(O)=C1;COC1=CC=CC(OC)=C1O","[M+H]+;[M+H]+","0;1.215;0.947","C8H10O3;C8H10O3","1.10033279832123;1.10033279832123","STD;STD"
155.143061319987,4.49196666666667,12734.373046875,11086.609375,139392.859375,18549.201171875,10972.9873046875,8286.1064453125,18015.134765625,13730.1708984375,9901.01953125,10184.3857421875,870584.25,10410.259765625,8650.5673828125,11,"102;110;202;206;211;223;280;281;310;340","C[C@@H]1CC[C@H]([C@H](O)C1)C(C)=C;C[C@H](CCC=C(C)C)CC=O;CC(C)[C@@H]1CC[C@@H](C)CC1=O;CC(C)=CCC\C(C)=C/CO;CC(C)=CCCC(C)(O)C=C;CC(C)C1(O)CCC(C)=CC1;CC1(C)[C@@H]2CC[C@@]1(C)[C@H](O)C2;CC1(C)C2CCC(C)(C2)C1O;CC1=CC[C@@H](CC1)C(C)(C)O;CC12CCC(CC1)C(C)(C)O2","[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+","0;2.395;3.591;2.798;2.524;2.468;1.947;2.734;2.312;2.369;2.595","C10H18O;C10H18O;C10H18O;C10H18O;C10H18O;C10H18O;C10H18O;C10H18O;C10H18O;C10H18O","0.0716756965785483;0.0716756965785483;0.0716756965785483;0.0716756965785483;0.0716756965785483;0.0716756965785483;0.0716756965785483;0.0716756965785483;0.0716756965785483;0.0716756965785483","STD;STD;STD;STD;STD;STD;STD;STD;STD;STD"
156.076955159505,0.45671,34387.046875,5870.8564453125,100,2033.71203613281,3108.15966796875,3234.798828125,100,338153.6875,100,444032.46875,2075.79858398438,190251.53125,1772.63586425781,10,"658","N[C@@H](CC1=CN=CN1)C(O)=O","[M+H]+","0;-3.429","C6H9N3O2","1.24079499619303","STD"
156.101842244466,0.601663333333333,6519.93359375,32961.08984375,30821.228515625,6012.8642578125,6869.49169921875,4939.24072265625,11042481,4695.10009765625,5081.66064453125,5099.62646484375,13643.7646484375,5008.58349609375,3991.09057617188,7,"572","COC(=O)C1=CCCN(C)C1","[M+H]+","0;0.172","C8H13NO2","-0.457749459880835","STD"
157.013056437174,3.44551666666667,6798.3291015625,2190.40991210938,205114.578125,1799.03955078125,21353.365234375,4124.50390625,58511.15625,100,1883.68981933594,2173.04443359375,4619.28662109375,23393.49609375,1211.89489746094,3,"893","OC(=O)C1=CC=C(O1)C(O)=O","[M+H]+","0;-0.0350000000000001","C6H4O5","-0.648116967588233","STD"
157.076187133789,3.06935,100,8292.865234375,14793.68359375,1099.48999023438,1135237.625,1771.00305175781,12869.3154296875,275153.71875,100,989.716735839844,8445.41015625,1408.3681640625,1103.88732910156,5,"646","N#CCC1=CNC2=C1C=CC=C2","[M+H]+","0;0.916","C10H8N2","0.979357799566824","STD"
158.081202189128,0.537141666666667,7915.00537109375,9463455,6668.40478515625,9846.39453125,7167.1591796875,8157.75830078125,8483.703125,6794.53271484375,7900.0703125,6834.81689453125,8433.005859375,570401.3125,8251.572265625,2,"66","[H][C@]1(CCCN1C(C)=O)C(O)=O","[M+H]+","0;-0.157","C7H11NO3","0.151751933019675","STD"
158.117523193359,0.60916,8517051,5263.86572265625,8108.17333984375,6029.79052734375,18191.021484375,8386.6982421875,199864.09375,8102.0673828125,6097.41015625,7868.814453125,18102.349609375,5414.5322265625,5343.4931640625,1,"729","NC[C@H]1CC[C@@H](CC1)C(O)=O","[M+H]+","0;0.298","C8H15NO2","-0.256180593937713","STD"
