mz,rt,H2O_Mix1_150_450.mzXML,H2O_Mix10_150_450.mzXML,H2O_Mix11_150_450.mzXML,H2O_Mix12_150_450.mzXML,H2O_Mix2_150_450.mzXML,H2O_Mix3_150_450.mzXML,H2O_Mix4_150_450.mzXML,H2O_Mix5_150_450.mzXML,H2O_Mix6_150_450.mzXML,H2O_Mix7_150_450.mzXML,H2O_Mix8_150_450.mzXML,H2O_Mix9_150_450.mzXML,MeOH_2.mzXML,SampleID,ID,SMILES,Adducts,LOGP,formula,mserror,db,rtscore,msscore,allscore,Final
153.1274058,3.953533333,120444.2578,32440.65039,4082104.5,21829718,202310.7031,42197.14453,6581986,30902.41406,49358.23828,36750.01563,80224.21875,56369.89453,35441.77734,4,37;103,[H][C@@]12CC[C@@](C)(C(=O)C1)C2(C)C;C[C@@H]1CCC(=C(C)C)C(=O)C1,[M+H]+;[M+H]+,2.127;2.126,C10H16O;C10H16O,0.0372396369183772;0.0372396369183772,STD;STD,-0.0692207595599065;-0.0693783206207535,-0.000346697639453181;-0.000346697639453181,-0.0695674571993597;-0.0697250182602066,
154.0499624,1.550015,6470.886719,4592.705566,2842.458252,2976.031494,4438.728516,4029.656006,1530153.875,54389.67969,3855.424316,3581.822754,4487.880859,282618.0938,3514.060791,7,736;737,NC1=CC(C(O)=O)=C(O)C=C1;NC1=CC(O)=C(C=C1)C(O)=O,[M+H]+;[M+H]+,0.205;0.205,C7H7NO3;C7H7NO3,0.546976141375104;0.546976141375104,STD;STD,-0.394653638320629;-0.394653638320629,-0.0747957248083995;-0.0747957248083995,-0.469449363129029;-0.469449363129029,
154.0860952,0.550485,4743.231445,3623.054688,4456.346191,3218.753174,4004.271973,1898028.25,5466.250977,4454.518555,4553.183594,5144.474121,3587.592773,5499.194824,5207.809082,6,728;782,NC[C@H](O)C1=CC=C(O)C=C1;NCCC1=CC(O)=C(O)C=C1,[M+H]+;[M+H]+,-0.794;0.05,C8H11NO2;C8H11NO2,-1.0930632372278;-1.0930632372278,STD;STD,-0.881927196340724;-1.42012078668564,-0.298696810144729;-0.298696810144729,-1.18062400648545;-1.71881759683037,
155.0704498,2.875016667,31766.2793,85228.3125,58929.66797,22596.99609,14157385,22044.43359,20149.65625,23499.0625,18868.51953,24785.98828,3772908.5,24569.80078,18954.00586,5,609;625,COC1=CC(OC)=CC(O)=C1;COC1=CC=CC(OC)=C1O,[M+H]+;[M+H]+,1.215;0.947,C8H10O3;C8H10O3,1.10033279832123;1.10033279832123,STD;STD,-0.0148903695965841;-0.00174920314910723,-0.302683066765357;-0.302683066765357,-0.317573436361941;-0.304432269914464,
155.1430613,4.491966667,12734.37305,11086.60938,139392.8594,18549.20117,10972.9873,8286.106445,18015.13477,13730.1709,9901.019531,10184.38574,870584.25,10410.25977,8650.567383,11,102;110;202;206;211;223;280;281;310;340,C[C@@H]1CC[C@H]([C@H](O)C1)C(C)=C;C[C@H](CCC=C(C)C)CC=O;CC(C)[C@@H]1CC[C@@H](C)CC1=O;CC(C)=CCC\C(C)=C/CO;CC(C)=CCCC(C)(O)C=C;CC(C)C1(O)CCC(C)=CC1;CC1(C)[C@@H]2CC[C@@]1(C)[C@H](O)C2;CC1(C)C2CCC(C)(C2)C1O;CC1=CC[C@@H](CC1)C(C)(C)O;CC12CCC(CC1)C(C)(C)O2,[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+;[M+H]+,2.395;3.591;2.798;2.524;2.468;1.947;2.734;2.312;2.369;2.595,C10H18O;C10H18O;C10H18O;C10H18O;C10H18O;C10H18O;C10H18O;C10H18O;C10H18O;C10H18O,0.0716756965785483;0.0716756965785483;0.0716756965785483;0.0716756965785483;0.0716756965785483;0.0716756965785483;0.0716756965785483;0.0716756965785483;0.0716756965785483;0.0716756965785483,STD;STD;STD;STD;STD;STD;STD;STD;STD;STD,-0.261549188804239;-0.0235621326797309;-0.152736831011645;-0.223552893664984;-0.239681293580508;-0.416655870045998;-0.168074140753456;-0.287572291648676;-0.26956827821834;-0.203911937070338,-0.00128435137000504;-0.00128435137000504;-0.00128435137000504;-0.00128435137000504;-0.00128435137000504;-0.00128435137000504;-0.00128435137000504;-0.00128435137000504;-0.00128435137000504;-0.00128435137000504,-0.262833540174244;-0.024846484049736;-0.15402118238165;-0.224837245034989;-0.240965644950513;-0.417940221416003;-0.169358492123461;-0.288856643018682;-0.270852629588345;-0.205196288440343,
156.0769552,0.45671,34387.04688,5870.856445,100,2033.712036,3108.159668,3234.798828,100,338153.6875,100,444032.4688,2075.798584,190251.5313,1772.635864,10,658,N[C@@H](CC1=CN=CN1)C(O)=O,[M+H]+,-3.429,C6H9N3O2,1.240794996,STD,-0.043167062,-0.384893056,-0.428060118,
156.1018422,0.601663333,6519.933594,32961.08984,30821.22852,6012.864258,6869.491699,4939.240723,11042481,4695.100098,5081.660645,5099.626465,13643.76465,5008.583496,3991.090576,7,572,COC(=O)C1=CCCN(C)C1,[M+H]+,0.172,C8H13NO2,-0.45774946,STD,-1.432742196,-0.052383642,-1.485125838,
157.0130564,3.445516667,6798.329102,2190.409912,205114.5781,1799.039551,21353.36523,4124.503906,58511.15625,100,1883.689819,2173.044434,4619.286621,23393.49609,1211.894897,3,893,OC(=O)C1=CC=C(O1)C(O)=O,[M+H]+,-0.035,C6H4O5,-0.648116968,STD,-0.360170068,-0.105013901,-0.465183969,
157.0761871,3.06935,100,8292.865234,14793.68359,1099.48999,1135237.625,1771.003052,12869.31543,275153.7188,100,989.7167358,8445.410156,1408.368164,1103.887329,5,646,N#CCC1=CNC2=C1C=CC=C2,[M+H]+,0.916,C10H8N2,0.9793578,STD,-0.007400375,-0.239785425,-0.2471858,
158.0812022,0.537141667,7915.005371,9463455,6668.404785,9846.394531,7167.15918,8157.758301,8483.703125,6794.532715,7900.070313,6834.816895,8433.005859,570401.3125,8251.572266,2,66,[H][C@]1(CCCN1C(C)=O)C(O)=O,[M+H]+,-0.157,C7H11NO3,0.151751933,STD,-1.294775541,-0.005757162,-1.300532703,
